question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,No I can't track your order.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
What if my product is damaged when I receive it?,If a product is damaged upon deliver you can request a return or replacement as per our defective product policy.
I received a damaged product what should I do?,Please initiate a return request within the return window for damaged or defective items.
Product arrived damaged,Damaged products are eligible for return or replacement according to our return policy.
